w,8145685.063242661,8145685.072548655,0.009305994
r,8145685.299176519,8145685.299442984,0.000266465
w,8145685.515446501,8145685.515920266,0.000473765
w,8145685.515498706,8145685.515925602,0.000426896
w,8145685.535102976,8145685.535508673,0.000405697
w,8145685.541654256,8145685.542046394,0.000392138
r,8145685.587526696,8145685.587772018,0.000245322
r,8145685.600638707,8145685.600870524,0.000231817
w,8145685.626856328,8145685.627345182,0.000488854
w,8145685.626911560,8145685.627418182,0.000506622
w,8145685.875895428,8145685.876354052,0.000458624
w,8145685.875943510,8145685.876386223,0.000442713
w,8145685.915211925,8145685.915590686,0.000378761
w,8145685.921763583,8145685.922161474,0.000397891
r,8145685.967640182,8145685.967924472,0.000284290
w,8145686.006961547,8145686.007379700,0.000418153
w,8145686.006998861,8145686.007384461,0.000385600
r,8145686.465716148,8145686.466036783,0.000320635
w,8145686.478819666,8145686.479250902,0.000431236
w,8145686.478857782,8145686.479255309,0.000397527
r,8145686.491928444,8145686.492198988,0.000270544
r,8145686.491945132,8145686.492204721,0.000259589
w,8145686.498480324,8145686.498867691,0.000387367
w,8145686.498518476,8145686.498871720,0.000353244
r,8145686.544356246,8145686.544603977,0.000247731
w,8145686.583679972,8145686.584089448,0.000409476
w,8145686.583727119,8145686.584127310,0.000400191
r,8145686.786840175,8145686.787088839,0.000248664
w,8145686.885186228,8145686.885584854,0.000398626
w,8145686.911359146,8145686.911744317,0.000385171
w,8145686.885146111,8145686.942750118,0.057604007
r,8145686.957234367,8145686.957463489,0.000229122
w,8145686.904805069,8145686.967540870,0.062735801
w,8145686.996592264,8145686.997008275,0.000416011
w,8145686.996554162,8145686.997055615,0.000501453
r,8145687.114519120,8145687.114753587,0.000234467
w,8145687.337386579,8145687.337784889,0.000398310
w,8145687.337343723,8145687.351275157,0.013931434
w,8145687.357009296,8145687.357394124,0.000384828
w,8145687.357050148,8145687.357445746,0.000395598
r,8145687.402877042,8145687.407142986,0.004265944
r,8145687.448753948,8145687.449165244,0.000411296
w,8145687.448772411,8145687.449172815,0.000400404
w,8145687.448812178,8145687.449311833,0.000499655
w,8145687.573272125,8145687.573740033,0.000467908
w,8145687.573329241,8145687.573745961,0.000416720
w,8145687.573307531,8145687.573826986,0.000519455
w,8145687.612593489,8145687.613089042,0.000495553
w,8145687.612649750,8145687.613094281,0.000444531
w,8145687.612682837,8145687.613140068,0.000457231
w,8145687.704346841,8145687.704956803,0.000609962
w,8145687.704403424,8145687.705074718,0.000671294
w,8145687.704379314,8145687.705176285,0.000796971
w,8145687.743665923,8145687.744422975,0.000757052
w,8145687.743697643,8145687.744429450,0.000731807
w,8145687.743784554,8145687.744433523,0.000648969
